Job Title,Job Topics,Duration,Type,Company,Stipend,Job Type,Last Date,Job Description,Job Role,Location,Coordinates
Process Engineering Intern,"Distillation Columns, Heat Exchangers",5 Months,Converting,ProcEng,14000,Full Time,10-12-2025,"As a Process Engineering Intern, you will gain hands-on experience in Distillation Columns, Heat Exchangers. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Chemical Industry,"Howrah, West Bengal, India","22.5736296,88.3251045"
Financial Consulting Intern,"Advisory, Audit, Tax Planning",3 Months,Summer,Cerulean Crown,9000,Part Time,10-12-2025,"As a Financial Consulting Intern, you will gain hands-on experience in Advisory, Audit, Tax Planning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Consulting Services,"Hubballi-Dharwad, Karnataka, India","15.3518378,75.1379848"
Sustainability Analyst Intern,"Climate Change, Conservation, Environmental Impact",6 Months,Long Term,Umbra Innovations,1600,Full Time,10-12-2025,"As a Sustainability Analyst Intern, you will work on Climate Change, Conservation and Environmental Impact, contributing to sustainability projects or environmental analysis using GIS tools or climate models. Youâ€™ll partner with researchers to promote eco-friendly solutions.",Environment,"Pondicherry, Puducherry, India","11.9340568,79.8306447"
Finance Intern,"Reporting, Budgeting",6 Months,Summer,Nova Networks,18000,Full Time,10-12-2025,"As a Finance Intern, you will gain hands-on experience in Reporting, Budgeting. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Diversified Conglomerates,"Sambalpur, Odisha, India","21.4705391,83.9761511"
Logistics Planning Intern,"Route Planning, Fleet Management",4 Months,Summer,LogiPlan,15000,Part Time,11-12-2025,"As a Logistics Planning Intern, you will gain hands-on experience in Route Planning, Fleet Management. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Logistics,"Ichalkaranji, Maharashtra, India","16.6959348,74.4555755"
Renewable Project Intern,"Climate Change, Conservation, Environmental Impact, GIS",4 Months,Semester,Starfall Solutions,1000,Part Time,12-12-2025,"As a Renewable Project Intern, you will work on Climate Change, Conservation, Environmental Impact and GIS, contributing to sustainability projects or environmental analysis using GIS tools or climate models. Youâ€™ll partner with researchers to promote eco-friendly solutions.",Environment,"Agartala, Tripura, India","23.8312377,91.2823821"
Digital Horticulture Intern,"Automated Greenhouses, Plant Analytics",5 Months,Long Term,HortiDigital,1150,Full Time,12-12-2025,"As a Digital Horticulture Intern, you will gain hands-on experience in Automated Greenhouses, Plant Analytics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Digital Horticulture,"Navi Mumbai, Maharashtra, India","19.0308262,73.0198537"
Valuation Intern,"Market Comparisons, Appraisal Reports",6 Months,Research,ValuProp,9000,Full Time,12-12-2025,"As a Valuation Intern, you will gain hands-on experience in Market Comparisons, Appraisal Reports. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Housing,"Pune, Maharashtra, India","18.5213738,73.8545071"
Gas Pipeline Intern,"Safety Protocols, Pipeline Design",6 Months,Research,Gorgon Ventures,17000,Part Time,14-12-2025,"As a Gas Pipeline Intern, you will gain hands-on experience in Safety Protocols, Pipeline Design. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.","Oil, Gas & Energy","Mathura, Uttar Pradesh, India","27.4955539,77.6855554"
Industrial Design Intern,"Photoshop, Brand Identity, Layouts",4 Months,Semester,Keystone Innovations,1200,Part Time,15-12-2025,"As a Industrial Design Intern, you will create Photoshop, Brand Identity and Layouts, designing user-centric visuals or prototypes using Adobe Creative Suite or Figma. Youâ€™ll work with design teams to refine brand aesthetics.",Design,"Bhopal, Madhya Pradesh, India","23.2584857,77.401989"
Sustainability Analyst Intern,"Climate Change, Biodiversity, GIS",2 Months,Summer,Genesis Group,1700,Full Time,15-12-2025,"As a Sustainability Analyst Intern, you will work on Climate Change, Biodiversity and GIS, contributing to sustainability projects or environmental analysis using GIS tools or climate models. Youâ€™ll partner with researchers to promote eco-friendly solutions.",Environment,"Sambalpur, Odisha, India","21.4705391,83.9761511"
Logistics Intern,"Inventory, Transport, Supply Chain",3 Months,Summer,Circe Systems,1700,Part Time,18-12-2025,"As a Logistics Intern, you will gain hands-on experience in Inventory, Transport, Supply Chain. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Aviation & Defence,"Ujjain, Madhya Pradesh, India","23.1885131,75.7716562"
UX Research Intern,"Illustration, Photoshop, Brand Identity",2 Months,Summer,Valhalla Ventures,1400,Full Time,18-12-2025,"As a UX Research Intern, you will create Illustration, Photoshop and Brand Identity, designing user-centric visuals or prototypes using Adobe Creative Suite or Figma. Youâ€™ll work with design teams to refine brand aesthetics.",Design,"Visakhapatnam, Andhra Pradesh, India","17.6935526,83.2921297"
Industrial Design Intern,"Illustration, Photoshop, Brand Identity, Layouts",3 Months,Summer,Zenithian,1100,Part Time,20-12-2025,"As a Industrial Design Intern, you will create Illustration, Photoshop, Brand Identity and Layouts, designing user-centric visuals or prototypes using Adobe Creative Suite or Figma. Youâ€™ll work with design teams to refine brand aesthetics.",Design,"Visakhapatnam, Andhra Pradesh, India","17.6935526,83.2921297"
Safety Intern,"Hazard Identification, Emergency, PPE",2 Months,Converting,Nomad's Respite,800,Part Time,21-12-2025,"As a Safety Intern, you will gain hands-on experience in Hazard Identification, Emergency, PPE. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Chemical Industry,"Loni, Uttar Pradesh, India","28.7317295,77.2900919"
Risk Management Intern,"Regulatory Compliance, Fraud Detection",3 Months,Long Term,Helios Systems,6000,Full Time,22-12-2025,"As a Risk Management Intern, you will gain hands-on experience in Regulatory Compliance, Fraud Detection. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Banking and Financial Services,"Chandigarh, Chandigarh, India","30.7334421,76.7797143"
Climate Research Intern,"Climate Modeling, Data Analysis",2 Months,Summer,ClimateLab,15000,Part Time,22-12-2025,"As a Climate Research Intern, you will gain hands-on experience in Climate Modeling, Data Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Climate Science,"Ghaziabad, Uttar Pradesh, India","28.6711527,77.4120356"
IoT Solutions Intern,"Kinematics, Control Algorithms, Embedded Systems",6 Months,Long Term,Global Foundry,1400,Full Time,22-12-2025,"As a IoT Solutions Intern, you will develop Kinematics, Control Algorithms and Embedded Systems, programming robotic systems or sensors using ROS or Arduino. Youâ€™ll collaborate with engineers to prototype automation solutions.",Robotics,"Ludhiana, Punjab, India","30.9090157,75.851601"
Construction Materials Intern,"Mix Design, Sourcing, Aggregates",2 Months,Long Term,Ember & Arc,1300,Part Time,24-12-2025,"As a Construction Materials Intern, you will gain hands-on experience in Mix Design, Sourcing, Aggregates. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Cement & Building Materials,"Imphal, Manipur, India","24.7991162,93.9364419"
UX Research Intern,"Illustration, Typography, Layouts",6 Months,Long Term,Uigooo,1500,Full Time,25-12-2025,"As a UX Research Intern, you will create Illustration, Typography and Layouts, designing user-centric visuals or prototypes using Adobe Creative Suite or Figma. Youâ€™ll work with design teams to refine brand aesthetics.",Design,"Indore, Madhya Pradesh, India","22.7203616,75.8681996"
VR Interaction Intern,"Illustration, Brand Identity, Layouts",4 Months,Semester,Woden Works,900,Part Time,28-12-2025,"As a VR Interaction Intern, you will create Illustration, Brand Identity and Layouts, designing user-centric visuals or prototypes using Adobe Creative Suite or Figma. Youâ€™ll work with design teams to refine brand aesthetics.",Design,"Mysuru, Karnataka, India","12.3051828,76.6553609"
Leather Production Intern,"Stitching, Tanning",6 Months,Semester,Apexian,10000,Full Time,29-12-2025,"As a Leather Production Intern, you will gain hands-on experience in Stitching, Tanning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Leather and Products,"Agartala, Tripura, India","23.8312377,91.2823821"
Manufacturing Process Intern,"Lean Manufacturing, Process Optimization",3 Months,Long Term,Whispering Willow,17000,Part Time,30-12-2025,"As a Manufacturing Process Intern, you will gain hands-on experience in Lean Manufacturing, Process Optimization. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Manufacturing & Industrial,"Gandhinagar, Gujarat, India","23.2232877,72.6492267"
Environmental Compliance Intern,"Regulatory Audits, Emissions Monitoring",5 Months,Long Term,GreenCompliance,900,Part Time,30-12-2025,"As an Environmental Compliance Intern, you will gain hands-on experience in Regulatory Audits, Emissions Monitoring. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Environmental Services,"Varanasi, Uttar Pradesh, India","25.3356491,83.0076292"
Construction Project Intern,"Budgeting, Material Procurement, Project Scheduling",3 Months,Research,Siren Systems,1700,Part Time,31-12-2025,"As a Construction Project Intern, you will gain hands-on experience in Budgeting, Material Procurement, Project Scheduling. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Infrastructure & Construction,"Vijayawada, Andhra Pradesh, India","16.5115306,80.6160469"
Museum Curation Intern,"Exhibit Planning, Artifact Preservation",4 Months,Summer,MuseumWorks,9000,Part Time,01-01-2026,"As a Museum Curation Intern, you will gain hands-on experience in Exhibit Planning, Artifact Preservation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Museum Studies,"Ajmer, Rajasthan, India","26.4691,74.639"
Leather Production Intern,"Hide Processing, Finishing Techniques",4 Months,Research,LeatherWorks,1200,Part Time,01-01-2026,"As a Leather Production Intern, you will gain hands-on experience in Hide Processing, Finishing Techniques. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Leather and Products,"Muzaffarpur, Bihar, India","26.1182898,85.3857888"
Industrial Design Intern,"Illustration, Typography, Photoshop",2 Months,Summer,Themis Tech,1600,Full Time,02-01-2026,"As a Industrial Design Intern, you will create Illustration, Typography and Photoshop, designing user-centric visuals or prototypes using Adobe Creative Suite or Figma. Youâ€™ll work with design teams to refine brand aesthetics.",Design,"Hisar, Haryana, India","29.1562688,75.7292303"
Chemical Manufacturing Intern,"Distillation, Synthesis, Reaction Monitoring",6 Months,Converting,LexiCorp,17000,Part Time,03-01-2026,"As a Chemical Manufacturing Intern, you will gain hands-on experience in Distillation, Synthesis, Reaction Monitoring. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Chemical Industry,"Moradabad, Uttar Pradesh, India","28.8334982,78.7732864"
Smart Grid Analyst Intern,"Grid Modernization, Energy Data Analytics",5 Months,Long Term,GridSmart,1000,Full Time,04-01-2026,"As a Smart Grid Analyst Intern, you will gain hands-on experience in Grid Modernization, Energy Data Analytics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Smart Grid Technology,"Imphal, Manipur, India","24.7991162,93.9364419"
IoT Solutions Intern,"Automation, Sensors, Embedded Systems",3 Months,Summer,TechieGo,1000,Part Time,05-01-2026,"As a IoT Solutions Intern, you will develop Automation, Sensors and Embedded Systems, programming robotic systems or sensors using ROS or Arduino. Youâ€™ll collaborate with engineers to prototype automation solutions.",Robotics,"Gandhinagar, Gujarat, India","23.2232877,72.6492267"
Urban Farming Intern,"Hydroponics, Vertical Farming",2 Months,Semester,UrbanGrow,12000,Full Time,07-01-2026,"As an Urban Farming Intern, you will gain hands-on experience in Hydroponics, Vertical Farming. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Sustainable Agriculture,"Gandhinagar, Gujarat, India","23.2232877,72.6492267"
Banking Operations Intern,"Transaction Processing, Customer Onboarding",5 Months,Converting,BankSecure,1200,Part Time,07-01-2026,"As a Banking Operations Intern, you will gain hands-on experience in Transaction Processing, Customer Onboarding. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Banking and Financial Services,"Mathura, Uttar Pradesh, India","27.4955539,77.6855554"
Gas Pipeline Intern,"Leak Detection, Corrosion Control",4 Months,Summer,PipeTech,15000,Part Time,08-01-2026,"As a Gas Pipeline Intern, you will gain hands-on experience in Leak Detection, Corrosion Control. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.","Oil, Gas & Energy","Kadapa, Andhra Pradesh, India","14.4752936,78.8216861"
Robotics Automation Intern,"Automation, Kinematics, Control Algorithms",3 Months,Summer,Terrestrial Tech,1200,Part Time,08-01-2026,"As a Robotics Automation Intern, you will develop Automation, Kinematics and Control Algorithms, programming robotic systems or sensors using ROS or Arduino. Youâ€™ll collaborate with engineers to prototype automation solutions.",Robotics,"Noida, Uttar Pradesh, India","28.5706333,77.3272147"
Microbiome Engineering Intern,"Gut Flora Analysis, Probiotic Design",5 Months,Long Term,BioFlora,950,Full Time,08-01-2026,"As a Microbiome Engineering Intern, you will gain hands-on experience in Gut Flora Analysis, Probiotic Design. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Microbiome Engineering,"Vadodara, Gujarat, India","22.2973142,73.1942567"
VR Interaction Intern,"Typography, Photoshop, Layouts",6 Months,Long Term,Solarian Solutions,1700,Full Time,10-01-2026,"As a VR Interaction Intern, you will create Typography, Photoshop and Layouts, designing user-centric visuals or prototypes using Adobe Creative Suite or Figma. Youâ€™ll work with design teams to refine brand aesthetics.",Design,"Gurgaon, Haryana, India","28.42826235,77.00270014657752"
Haptic Technology Intern,"Tactile Feedback, Interface Design",2 Months,Summer,HapticTech,16000,Part Time,10-01-2026,"As a Haptic Technology Intern, you will gain hands-on experience in Tactile Feedback, Interface Design. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Haptic Technology,"Hubballi-Dharwad, Karnataka, India","15.3518378,75.1379848"
IoT Solutions Intern,"Automation, Sensors, Control Algorithms",4 Months,Semester,Artemis Group,800,Part Time,12-01-2026,"As a IoT Solutions Intern, you will develop Automation, Sensors and Control Algorithms, programming robotic systems or sensors using ROS or Arduino. Youâ€™ll collaborate with engineers to prototype automation solutions.",Robotics,"Kolkata, West Bengal, India","22.5726459,88.3638953"
Cryogenic Systems Intern,"Low-Temperature Tech, Cryopreservation",5 Months,Long Term,CryoWorks,900,Full Time,13-01-2026,"As a Cryogenic Systems Intern, you will gain hands-on experience in Low-Temperature Tech, Cryopreservation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Cryogenic Systems,"Agartala, Tripura, India","23.8312377,91.2823821"
Behavioral Economics Intern,"Decision Modeling, Incentive Design",3 Months,Research,BehavEcon,1200,Full Time,13-01-2026,"As a Behavioral Economics Intern, you will gain hands-on experience in Decision Modeling, Incentive Design. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Behavioral Economics,"Sambalpur, Odisha, India","21.4705391,83.9761511"
Nursing Intern,"Vital Signs, Assistance",3 Months,Long Term,Orbital Ops,800,Part Time,14-01-2026,"As a Nursing Intern, you will gain hands-on experience in Vital Signs, Assistance. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Healthcare,"Jaipur, Rajasthan, India","26.9154576,75.8189817"
VR Interaction Intern,"Illustration, Typography, Photoshop, Brand Identity",2 Months,Summer,Hydra Holdings,1300,Full Time,15-01-2026,"As a VR Interaction Intern, you will create Illustration, Typography, Photoshop and Brand Identity, designing user-centric visuals or prototypes using Adobe Creative Suite or Figma. Youâ€™ll work with design teams to refine brand aesthetics.",Design,"Aizawl, Mizoram, India","23.7433532,92.7382756"
Event Organization Intern,"Scheduling, Logistics, Promotion",6 Months,Long Term,Galaxy Group,800,Full Time,15-01-2026,"As a Event Organization Intern, you will gain hands-on experience in Scheduling, Logistics, Promotion. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Sports,"Dehradun, Uttarakhand, India","30.3255646,78.0436813"
Cyber Threat Analysis Intern,"Penetration Testing, Encryption, Forensics",4 Months,Semester,Celestial Dynamics,1100,Part Time,15-01-2026,"As a Cyber Threat Analysis Intern, you will focus on Penetration Testing, Encryption and Forensics, conducting security assessments and developing protocols using tools like Wireshark or Metasploit. Youâ€™ll collaborate with cybersecurity experts to enhance system resilience.",Cyber,"Mangalore, Karnataka, India","12.8698101,74.8430082"
Site Management Intern,"Safety Oversight, Progress Reporting",2 Months,Long Term,Gemini Global,1300,Part Time,15-01-2026,"As a Site Management Intern, you will gain hands-on experience in Safety Oversight, Progress Reporting. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Infrastructure & Construction,"Moradabad, Uttar Pradesh, India","28.8334982,78.7732864"
Bioinspired Materials Intern,"Natural Composites, Material Mimicry",5 Months,Long Term,BioMat,1050,Full Time,16-01-2026,"As a Bioinspired Materials Intern, you will gain hands-on experience in Natural Composites, Material Mimicry. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Bioinspired Materials,"Tiruvottiyur, Tamil Nadu, India","13.1563873,80.3005279"
Behavioral Biometrics Intern,"Keystroke Analysis, User Authentication",3 Months,Research,BioMetric,1150,Full Time,18-01-2026,"As a Behavioral Biometrics Intern, you will gain hands-on experience in Keystroke Analysis, User Authentication. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Behavioral Biometrics,"Madurai, Tamil Nadu, India","9.9261153,78.1140983"
Robotics Automation Intern,"Sensors, Embedded Systems, Control Algorithms",2 Months,Summer,Keystone Collective,1500,Full Time,18-01-2026,"As a Robotics Automation Intern, you will develop Sensors, Embedded Systems and Control Algorithms, programming robotic systems or sensors using ROS or Arduino. Youâ€™ll collaborate with engineers to prototype automation solutions.",Robotics,"Pondicherry, Puducherry, India","11.9340568,79.8306447"
Sustainable Fisheries Intern,"Aquatic Ecosystem Monitoring, Stock Assessment",4 Months,Summer,FishSustain,9000,Part Time,18-01-2026,"As a Sustainable Fisheries Intern, you will gain hands-on experience in Aquatic Ecosystem Monitoring, Stock Assessment. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Sustainable Fisheries,"Visakhapatnam, Andhra Pradesh, India","17.6935526,83.2921297"
Consumer Electronics Intern,"Warranty, Electronics Repair, Product Knowledge",3 Months,Long Term,OpenAI Labs,10000,Full Time,19-01-2026,"As a Consumer Electronics Intern, you will gain hands-on experience in Warranty, Electronics Repair, Product Knowledge. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Retail & Consumer Durables,"Belgaum, Karnataka, India","15.8572666,74.5069343"
Smart Packaging Analytics Intern,"Shelf-Life Sensors, Data Insights",2 Months,Summer,PackAnalytics,15500,Part Time,19-01-2026,"As a Smart Packaging Analytics Intern, you will gain hands-on experience in Shelf-Life Sensors, Data Insights. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Smart Packaging Analytics,"Bhubaneswar, Odisha, India","20.2602964,85.8394521"
Strategy Intern,"Execution, Planning",3 Months,Research,Everlight Analytics,10000,Full Time,19-01-2026,"As a Strategy Intern, you will gain hands-on experience in Execution, Planning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Diversified Conglomerates,"Rajahmundry, Andhra Pradesh, India","17.0050454,81.7804732"
Social Media Marketing Intern,"Content Creation, Analytics Tracking",4 Months,Semester,SocialBuzz,9000,Part Time,19-01-2026,"As a Social Media Marketing Intern, you will gain hands-on experience in Content Creation, Analytics Tracking. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Digital Marketing,"Sambalpur, Odisha, India","21.4705391,83.9761511"
Cyber Threat Analysis Intern,"Penetration Testing, Network Security, Encryption, Incident Response",3 Months,Summer,Polaris Products,900,Part Time,20-01-2026,"As a Cyber Threat Analysis Intern, you will focus on Penetration Testing, Network Security, Encryption and Incident Response, conducting security assessments and developing protocols using tools like Wireshark or Metasploit. Youâ€™ll collaborate with cybersecurity experts to enhance system resilience.",Cyber,"Erode, Tamil Nadu, India","11.3306483,77.7276519"
EdTech Content Intern,"Learning Platforms, Adaptive Content",5 Months,Research,EdTech Solutions,900,Full Time,21-01-2026,"As an EdTech Content Intern, you will gain hands-on experience in Learning Platforms, Adaptive Content. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",EdTech,"Haldwani, Uttarakhand, India","29.2144809,79.5279012"
Nutrition Science Intern,"Clinical Research, Diagnostics, Patient Data",6 Months,Long Term,Oracle Enterprises,1500,Full Time,22-01-2026,"As a Nutrition Science Intern, you will engage in Clinical Research, Diagnostics and Patient Data, analyzing clinical data or developing diagnostic tools. Youâ€™ll collaborate with healthcare professionals to advance medical research or patient care.",Medical,"Asansol, West Bengal, India","23.6871297,86.9746587"
Astroecology Intern,"Space Ecosystems, Planetary Habitability",3 Months,Research,AstroEco,1200,Full Time,22-01-2026,"As an Astroecology Intern, you will gain hands-on experience in Space Ecosystems, Planetary Habitability. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Astroecology,"Berhampur, Odisha, India","21.5340187,86.6538825"
Production Intern,"Packaging Design, Batch Processing",5 Months,Converting,ProdLine,1000,Part Time,22-01-2026,"As a Production Intern, you will gain hands-on experience in Packaging Design, Batch Processing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",FMCG,"Tirunelveli, Tamil Nadu, India","8.7284271,77.7112925"
App Development Intern,"Testing, Mobile UI/UX, API Integration",6 Months,Converting,asus labs,1700,Part Time,25-01-2026,"As a App Development Intern, you will gain hands-on experience in Testing, Mobile UI/UX, API Integration. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",IT and Software Development,"Gaya, Bihar, India","24.7964355,85.0079563"
Robotics Automation Intern,"Automation, Sensors, Kinematics, Embedded Systems",6 Months,Long Term,Oberon Operations,1600,Full Time,25-01-2026,"As a Robotics Automation Intern, you will develop Automation, Sensors, Kinematics and Embedded Systems, programming robotic systems or sensors using ROS or Arduino. Youâ€™ll collaborate with engineers to prototype automation solutions.",Robotics,"Patna, Bihar, India","25.6093239,85.1235252"
Network Management Intern,"Bandwidth Allocation, Fault Detection",2 Months,Summer,NetManage,1000,Part Time,25-01-2026,"As a Network Management Intern, you will gain hands-on experience in Bandwidth Allocation, Fault Detection. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Telecom,"Tiruvottiyur, Tamil Nadu, India","13.1563873,80.3005279"
Sports Management Intern,"Sponsorship, Team Coordination, Marketing",6 Months,Semester,playMuch,7000,Part Time,27-01-2026,"As a Sports Management Intern, you will gain hands-on experience in Sponsorship, Team Coordination, Marketing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Sports,"Allahabad, Uttar Pradesh, India","25.448429,81.832198"
Synthetic Agriculture Intern,"Lab-Grown Crops, Genetic Optimization",3 Months,Long Term,AgriSynth,1050,Full Time,27-01-2026,"As a Synthetic Agriculture Intern, you will gain hands-on experience in Lab-Grown Crops, Genetic Optimization. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Synthetic Agriculture,"Kulti, West Bengal, India","23.7302149,86.8396711"
Healthcare Analytics Intern,"Data Visualization, Predictive Modeling, SQL",4 Months,Semester,The Gilded Gate,1000,Part Time,28-01-2026,"As a Healthcare Analytics Intern, you will leverage Data Visualization, Predictive Modeling and SQL to analyze large datasets, create visualizations, and derive insights using Python or R. Youâ€™ll work with cross-functional teams to support data-driven decisions.",Data,"Agartala, Tripura, India","23.8312377,91.2823821"
Mobile Game Testing Intern,"Bug Reporting, Gameplay Analysis",3 Months,Research,GameTest,1000,Full Time,29-01-2026,"As a Mobile Game Testing Intern, you will gain hands-on experience in Bug Reporting, Gameplay Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Game Testing,"Vijayawada, Andhra Pradesh, India","16.5115306,80.6160469"
Digital Paleontology Intern,"Fossil Digitization, 3D Reconstruction",5 Months,Research,PaleoDigital,950,Full Time,29-01-2026,"As a Digital Paleontology Intern, you will gain hands-on experience in Fossil Digitization, 3D Reconstruction. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Digital Paleontology,"Visakhapatnam, Andhra Pradesh, India","17.6935526,83.2921297"
Manufacturing Process Intern,"Automation Systems, Quality Metrics",4 Months,Research,IndusFab,1200,Part Time,30-01-2026,"As a Manufacturing Process Intern, you will gain hands-on experience in Automation Systems, Quality Metrics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Manufacturing & Industrial,"Agartala, Tripura, India","23.8312377,91.2823821"
Media Production Intern,"Audio Editing, Lighting Setup",3 Months,Long Term,MediaProd,1500,Part Time,30-01-2026,"As a Media Production Intern, you will gain hands-on experience in Audio Editing, Lighting Setup. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.","Media, Entertainment & Education","Bareilly, Uttar Pradesh, India","28.355099,79.417851"
Holographic Advertising Intern,"3D Ad Campaigns, Visual Effects",4 Months,Summer,HoloAd,15500,Part Time,30-01-2026,"As a Holographic Advertising Intern, you will gain hands-on experience in 3D Ad Campaigns, Visual Effects. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Holographic Advertising,"Bhubaneswar, Odisha, India","20.2602964,85.8394521"
Marketing Intern,"Market Research, Advertising, Brand Promotion",3 Months,Converting,Crimson Compass,13000,Full Time,30-01-2026,"As a Marketing Intern, you will gain hands-on experience in Market Research, Advertising, Brand Promotion. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",FMCG,"Coimbatore, Tamil Nadu, India","11.0018115,76.9628425"
Valuation Intern,"Assessment, Appraisal, Reporting",3 Months,Long Term,QuantumEdge,1300,Part Time,01-02-2026,"As a Valuation Intern, you will gain hands-on experience in Assessment, Appraisal, Reporting. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Housing,"Bhavnagar, Gujarat, India","21.7718836,72.1416449"
Spectrum Analyst Intern,"Frequency Allocation, Regulation",2 Months,Converting,Olympus Solutions,20000,Part Time,01-02-2026,"As a Spectrum Analyst Intern, you will gain hands-on experience in Frequency Allocation, Regulation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Telecom,"Mangalore, Karnataka, India","12.8698101,74.8430082"
Cyber Threat Analysis Intern,"Network Security, Incident Response, Forensics",2 Months,Summer,Celestial Foundry,1700,Full Time,02-02-2026,"As a Cyber Threat Analysis Intern, you will focus on Network Security, Incident Response and Forensics, conducting security assessments and developing protocols using tools like Wireshark or Metasploit. Youâ€™ll collaborate with cybersecurity experts to enhance system resilience.",Cyber,"Bhubaneswar, Odisha, India","20.2602964,85.8394521"
Cloud Computing Intern,"Serverless Architecture, Cloud Security",2 Months,Semester,CloudPeak,1600,Part Time,02-02-2026,"As a Cloud Computing Intern, you will gain hands-on experience in Serverless Architecture, Cloud Security. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Cloud Computing,"Kadapa, Andhra Pradesh, India","14.4752936,78.8216861"
Neurohaptics Intern,"Tactile Neural Interfaces, Sensory Feedback",5 Months,Research,NeuroHaptic,1450,Full Time,02-02-2026,"As a Neurohaptics Intern, you will gain hands-on experience in Tactile Neural Interfaces, Sensory Feedback. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Neurohaptics,"Patna, Bihar, India","25.6093239,85.1235252"
Nutrition Science Intern,"Pathology, Pharmacology, Diagnostics",3 Months,Summer,Helios Systems,800,Remote,05-02-2026,"As a Nutrition Science Intern, you will engage in Pathology, Pharmacology and Diagnostics, analyzing clinical data or developing diagnostic tools. Youâ€™ll collaborate with healthcare professionals to advance medical research or patient care.",Medical,"Raipur, Chhattisgarh, India","21.2380912,81.6336993"
Industrial Engineering Intern,"Production Scheduling, Cost Reduction",3 Months,Long Term,EngiPro,900,Full Time,06-02-2026,"As a Industrial Engineering Intern, you will gain hands-on experience in Production Scheduling, Cost Reduction. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Manufacturing & Industrial,"Kadapa, Andhra Pradesh, India","14.4752936,78.8216861"
Financial Analyst Intern,"Forecasting, Market Analysis, Financial Modeling",6 Months,Research,Fading Fields,13000,Full Time,07-02-2026,"As a Financial Analyst Intern, you will gain hands-on experience in Forecasting, Market Analysis, Financial Modeling. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Banking and Financial Services,"Ludhiana, Punjab, India","30.9090157,75.851601"
