Job Title,Job Topics,Duration,Type,Company,Stipend,Job Type,Last Date,Job Description,Job Role
Microbiome Engineering Intern,"Gut Flora Analysis, Probiotic Design",5 Months,Long Term,BioFlora,$950,Full Time,08-01-2026,"As a Microbiome Engineering Intern, you will gain hands-on experience in Gut Flora Analysis, Probiotic Design. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Microbiome Engineering
Gas Pipeline Intern,"Leak Detection, Corrosion Control",4 Months,Summer,PipeTech,$15000,Part Time,08-01-2026,"As a Gas Pipeline Intern, you will gain hands-on experience in Leak Detection, Corrosion Control. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.","Oil, Gas & Energy"
Robotics Automation Intern,"Automation, Kinematics, Control Algorithms",3 Months,Summer,Terrestrial Tech,$1200,Part Time,08-01-2026,"As a Robotics Automation Intern, you will develop Automation, Kinematics and Control Algorithms, programming robotic systems or sensors using ROS or Arduino. Youâ€™ll collaborate with engineers to prototype automation solutions.",Robotics
VR Interaction Intern,"Typography, Photoshop, Layouts",6 Months,Long Term,Solarian Solutions,$1700,Full Time,10-01-2026,"As a VR Interaction Intern, you will create Typography, Photoshop and Layouts, designing user-centric visuals or prototypes using Adobe Creative Suite or Figma. Youâ€™ll work with design teams to refine brand aesthetics.",Design
Haptic Technology Intern,"Tactile Feedback, Interface Design",2 Months,Summer,HapticTech,$16000,Part Time,10-01-2026,"As a Haptic Technology Intern, you will gain hands-on experience in Tactile Feedback, Interface Design. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Haptic Technology
IoT Solutions Intern,"Automation, Sensors, Control Algorithms",4 Months,Semester,Artemis Group,$800,Part Time,12-01-2026,"As a IoT Solutions Intern, you will develop Automation, Sensors and Control Algorithms, programming robotic systems or sensors using ROS or Arduino. Youâ€™ll collaborate with engineers to prototype automation solutions.",Robotics
Behavioral Economics Intern,"Decision Modeling, Incentive Design",3 Months,Research,BehavEcon,$1200,Full Time,13-01-2026,"As a Behavioral Economics Intern, you will gain hands-on experience in Decision Modeling, Incentive Design. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Behavioral Economics
Cryogenic Systems Intern,"Low-Temperature Tech, Cryopreservation",5 Months,Long Term,CryoWorks,$900,Full Time,13-01-2026,"As a Cryogenic Systems Intern, you will gain hands-on experience in Low-Temperature Tech, Cryopreservation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Cryogenic Systems
Nursing Intern,"Vital Signs, Assistance",3 Months,Long Term,Orbital Ops,$800,Part Time,14-01-2026,"As a Nursing Intern, you will gain hands-on experience in Vital Signs, Assistance. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Healthcare
Event Organization Intern,"Scheduling, Logistics, Promotion",6 Months,Long Term,Galaxy Group,$800,Full Time,15-01-2026,"As a Event Organization Intern, you will gain hands-on experience in Scheduling, Logistics, Promotion. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Sports
VR Interaction Intern,"Illustration, Typography, Photoshop, Brand Identity",2 Months,Summer,Hydra Holdings,$1300,Full Time,15-01-2026,"As a VR Interaction Intern, you will create Illustration, Typography, Photoshop and Brand Identity, designing user-centric visuals or prototypes using Adobe Creative Suite or Figma. Youâ€™ll work with design teams to refine brand aesthetics.",Design
Cyber Threat Analysis Intern,"Penetration Testing, Encryption, Forensics",4 Months,Semester,Celestial Dynamics,$1100,Part Time,15-01-2026,"As a Cyber Threat Analysis Intern, you will focus on Penetration Testing, Encryption and Forensics, conducting security assessments and developing protocols using tools like Wireshark or Metasploit. Youâ€™ll collaborate with cybersecurity experts to enhance system resilience.",Cyber
Site Management Intern,"Safety Oversight, Progress Reporting",2 Months,Long Term,Gemini Global,$1300,Part Time,15-01-2026,"As a Site Management Intern, you will gain hands-on experience in Safety Oversight, Progress Reporting. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Infrastructure & Construction
Bioinspired Materials Intern,"Natural Composites, Material Mimicry",5 Months,Long Term,BioMat,$1050,Full Time,16-01-2026,"As a Bioinspired Materials Intern, you will gain hands-on experience in Natural Composites, Material Mimicry. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Bioinspired Materials
Behavioral Biometrics Intern,"Keystroke Analysis, User Authentication",3 Months,Research,BioMetric,$1150,Full Time,18-01-2026,"As a Behavioral Biometrics Intern, you will gain hands-on experience in Keystroke Analysis, User Authentication. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Behavioral Biometrics
Robotics Automation Intern,"Sensors, Embedded Systems, Control Algorithms",2 Months,Summer,Keystone Collective,$1500,Full Time,18-01-2026,"As a Robotics Automation Intern, you will develop Sensors, Embedded Systems and Control Algorithms, programming robotic systems or sensors using ROS or Arduino. Youâ€™ll collaborate with engineers to prototype automation solutions.",Robotics
Sustainable Fisheries Intern,"Aquatic Ecosystem Monitoring, Stock Assessment",4 Months,Summer,FishSustain,$9000,Part Time,18-01-2026,"As a Sustainable Fisheries Intern, you will gain hands-on experience in Aquatic Ecosystem Monitoring, Stock Assessment. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Sustainable Fisheries
Strategy Intern,"Execution, Planning",3 Months,Research,Everlight Analytics,$10000,Full Time,19-01-2026,"As a Strategy Intern, you will gain hands-on experience in Execution, Planning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Diversified Conglomerates
Consumer Electronics Intern,"Warranty, Electronics Repair, Product Knowledge",3 Months,Long Term,OpenAI Labs,$10000,Full Time,19-01-2026,"As a Consumer Electronics Intern, you will gain hands-on experience in Warranty, Electronics Repair, Product Knowledge. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Retail & Consumer Durables
Smart Packaging Analytics Intern,"Shelf-Life Sensors, Data Insights",2 Months,Summer,PackAnalytics,$15500,Part Time,19-01-2026,"As a Smart Packaging Analytics Intern, you will gain hands-on experience in Shelf-Life Sensors, Data Insights. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Smart Packaging Analytics
Social Media Marketing Intern,"Content Creation, Analytics Tracking",4 Months,Semester,SocialBuzz,$9000,Part Time,19-01-2026,"As a Social Media Marketing Intern, you will gain hands-on experience in Content Creation, Analytics Tracking. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Digital Marketing
Cyber Threat Analysis Intern,"Penetration Testing, Network Security, Encryption, Incident Response",3 Months,Summer,Polaris Products,$900,Part Time,20-01-2026,"As a Cyber Threat Analysis Intern, you will focus on Penetration Testing, Network Security, Encryption and Incident Response, conducting security assessments and developing protocols using tools like Wireshark or Metasploit. Youâ€™ll collaborate with cybersecurity experts to enhance system resilience.",Cyber
EdTech Content Intern,"Learning Platforms, Adaptive Content",5 Months,Research,EdTech Solutions,$900,Full Time,21-01-2026,"As an EdTech Content Intern, you will gain hands-on experience in Learning Platforms, Adaptive Content. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",EdTech
Astroecology Intern,"Space Ecosystems, Planetary Habitability",3 Months,Research,AstroEco,$1200,Full Time,22-01-2026,"As an Astroecology Intern, you will gain hands-on experience in Space Ecosystems, Planetary Habitability. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Astroecology
Nutrition Science Intern,"Clinical Research, Diagnostics, Patient Data",6 Months,Long Term,Oracle Enterprises,$1500,Full Time,22-01-2026,"As a Nutrition Science Intern, you will engage in Clinical Research, Diagnostics and Patient Data, analyzing clinical data or developing diagnostic tools. Youâ€™ll collaborate with healthcare professionals to advance medical research or patient care.",Medical
Production Intern,"Packaging Design, Batch Processing",5 Months,Converting,ProdLine,$1000,Part Time,22-01-2026,"As a Production Intern, you will gain hands-on experience in Packaging Design, Batch Processing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",FMCG
Robotics Automation Intern,"Automation, Sensors, Kinematics, Embedded Systems",6 Months,Long Term,Oberon Operations,$1600,Full Time,25-01-2026,"As a Robotics Automation Intern, you will develop Automation, Sensors, Kinematics and Embedded Systems, programming robotic systems or sensors using ROS or Arduino. Youâ€™ll collaborate with engineers to prototype automation solutions.",Robotics
App Development Intern,"Testing, Mobile UI/UX, API Integration",6 Months,Converting,asus labs,$1700,Part Time,25-01-2026,"As a App Development Intern, you will gain hands-on experience in Testing, Mobile UI/UX, API Integration. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",IT and Software Development
Network Management Intern,"Bandwidth Allocation, Fault Detection",2 Months,Summer,NetManage,$1000,Part Time,25-01-2026,"As a Network Management Intern, you will gain hands-on experience in Bandwidth Allocation, Fault Detection. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Telecom
Synthetic Agriculture Intern,"Lab-Grown Crops, Genetic Optimization",3 Months,Long Term,AgriSynth,$1050,Full Time,27-01-2026,"As a Synthetic Agriculture Intern, you will gain hands-on experience in Lab-Grown Crops, Genetic Optimization. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Synthetic Agriculture
Sports Management Intern,"Sponsorship, Team Coordination, Marketing",6 Months,Semester,playMuch,$7000,Part Time,27-01-2026,"As a Sports Management Intern, you will gain hands-on experience in Sponsorship, Team Coordination, Marketing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Sports
Healthcare Analytics Intern,"Data Visualization, Predictive Modeling, SQL",4 Months,Semester,The Gilded Gate,$1000,Part Time,28-01-2026,"As a Healthcare Analytics Intern, you will leverage Data Visualization, Predictive Modeling and SQL to analyze large datasets, create visualizations, and derive insights using Python or R. Youâ€™ll work with cross-functional teams to support data-driven decisions.",Data
Mobile Game Testing Intern,"Bug Reporting, Gameplay Analysis",3 Months,Research,GameTest,$1000,Full Time,29-01-2026,"As a Mobile Game Testing Intern, you will gain hands-on experience in Bug Reporting, Gameplay Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Game Testing
Digital Paleontology Intern,"Fossil Digitization, 3D Reconstruction",5 Months,Research,PaleoDigital,$950,Full Time,29-01-2026,"As a Digital Paleontology Intern, you will gain hands-on experience in Fossil Digitization, 3D Reconstruction. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Digital Paleontology
Marketing Intern,"Market Research, Advertising, Brand Promotion",3 Months,Converting,Crimson Compass,$13000,Full Time,30-01-2026,"As a Marketing Intern, you will gain hands-on experience in Market Research, Advertising, Brand Promotion. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",FMCG
Holographic Advertising Intern,"3D Ad Campaigns, Visual Effects",4 Months,Summer,HoloAd,$15500,Part Time,30-01-2026,"As a Holographic Advertising Intern, you will gain hands-on experience in 3D Ad Campaigns, Visual Effects. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Holographic Advertising
Manufacturing Process Intern,"Automation Systems, Quality Metrics",4 Months,Research,IndusFab,$1200,Part Time,30-01-2026,"As a Manufacturing Process Intern, you will gain hands-on experience in Automation Systems, Quality Metrics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Manufacturing & Industrial
Media Production Intern,"Audio Editing, Lighting Setup",3 Months,Long Term,MediaProd,$1500,Part Time,30-01-2026,"As a Media Production Intern, you will gain hands-on experience in Audio Editing, Lighting Setup. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.","Media, Entertainment & Education"
Spectrum Analyst Intern,"Frequency Allocation, Regulation",2 Months,Converting,Olympus Solutions,$20000,Part Time,01-02-2026,"As a Spectrum Analyst Intern, you will gain hands-on experience in Frequency Allocation, Regulation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Telecom
Valuation Intern,"Assessment, Appraisal, Reporting",3 Months,Long Term,QuantumEdge,$1300,Part Time,01-02-2026,"As a Valuation Intern, you will gain hands-on experience in Assessment, Appraisal, Reporting. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Housing
Cyber Threat Analysis Intern,"Network Security, Incident Response, Forensics",2 Months,Summer,Celestial Foundry,$1700,Full Time,02-02-2026,"As a Cyber Threat Analysis Intern, you will focus on Network Security, Incident Response and Forensics, conducting security assessments and developing protocols using tools like Wireshark or Metasploit. Youâ€™ll collaborate with cybersecurity experts to enhance system resilience.",Cyber
Neurohaptics Intern,"Tactile Neural Interfaces, Sensory Feedback",5 Months,Research,NeuroHaptic,$1450,Full Time,02-02-2026,"As a Neurohaptics Intern, you will gain hands-on experience in Tactile Neural Interfaces, Sensory Feedback. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Neurohaptics
Cloud Computing Intern,"Serverless Architecture, Cloud Security",2 Months,Semester,CloudPeak,$1600,Part Time,02-02-2026,"As a Cloud Computing Intern, you will gain hands-on experience in Serverless Architecture, Cloud Security. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Cloud Computing
Nutrition Science Intern,"Pathology, Pharmacology, Diagnostics",3 Months,Summer,Helios Systems,$800,Remote,05-02-2026,"As a Nutrition Science Intern, you will engage in Pathology, Pharmacology and Diagnostics, analyzing clinical data or developing diagnostic tools. Youâ€™ll collaborate with healthcare professionals to advance medical research or patient care.",Medical
Industrial Engineering Intern,"Production Scheduling, Cost Reduction",3 Months,Long Term,EngiPro,$900,Full Time,06-02-2026,"As a Industrial Engineering Intern, you will gain hands-on experience in Production Scheduling, Cost Reduction. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Manufacturing & Industrial
Financial Analyst Intern,"Forecasting, Market Analysis, Financial Modeling",6 Months,Research,Fading Fields,$13000,Full Time,07-02-2026,"As a Financial Analyst Intern, you will gain hands-on experience in Forecasting, Market Analysis, Financial Modeling. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Banking and Financial Services
Sustainable Packaging Intern,"Compostable Materials, Packaging Design",5 Months,Research,PackGreen,$1300,Full Time,08-02-2026,"As a Sustainable Packaging Intern, you will gain hands-on experience in Compostable Materials, Packaging Design. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Sustainable Packaging
Product Development Intern,"Testing, Consumer Feedback, Recipe Formulation",4 Months,Research,Nebula Nexus,$1500,Remote,08-02-2026,"As a Product Development Intern, you will gain hands-on experience in Testing, Consumer Feedback, Recipe Formulation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",FMCG
Sports Analytics Intern,"Python, Predictive Modeling, SQL",3 Months,Summer,Persephone Partners,$1100,Remote,08-02-2026,"As a Sports Analytics Intern, you will leverage Python, Predictive Modeling and SQL to analyze large datasets, create visualizations, and derive insights using Python or R. Youâ€™ll work with cross-functional teams to support data-driven decisions.",Data
Marketing Intern,"Digital Campaigns, Consumer Insights",3 Months,Research,MarketBoost,$9000,Full Time,09-02-2026,"As a Marketing Intern, you will gain hands-on experience in Digital Campaigns, Consumer Insights. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",FMCG
Healthcare Analytics Intern,"Python, Pandas, Data Visualization",6 Months,Long Term,Sphinx Ventures,$1300,Full Time,10-02-2026,"As a Healthcare Analytics Intern, you will leverage Python, Pandas and Data Visualization to analyze large datasets, create visualizations, and derive insights using Python or R. Youâ€™ll work with cross-functional teams to support data-driven decisions.",Data
Synthetic Biology Intern,"Gene Editing, Biofabrication",2 Months,Semester,SynBio Tech,$11000,Remote,11-02-2026,"As a Synthetic Biology Intern, you will gain hands-on experience in Gene Editing, Biofabrication. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Synthetic Biology
Customer Service Intern,"Call Handling, Escalation Procedures",4 Months,Long Term,CustServe,$13000,Full Time,12-02-2026,"As a Customer Service Intern, you will gain hands-on experience in Call Handling, Escalation Procedures. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Telecom
Nutrition Science Intern,"Pathology, Clinical Research, Pharmacology, Patient Data",4 Months,Semester,AgriGo,$1200,Remote,12-02-2026,"As a Nutrition Science Intern, you will engage in Pathology, Clinical Research, Pharmacology and Patient Data, analyzing clinical data or developing diagnostic tools. Youâ€™ll collaborate with healthcare professionals to advance medical research or patient care.",Medical
Graphic Design Intern,"Branding, Motion Graphics",3 Months,Converting,DesignVibe,$1300,Remote,14-02-2026,"As a Graphic Design Intern, you will gain hands-on experience in Branding, Motion Graphics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Creative Arts
Healthcare Analytics Intern,"Python, Data Visualization, SQL",2 Months,Summer,Gemini Global,$1400,Full Time,15-02-2026,"As a Healthcare Analytics Intern, you will leverage Python, Data Visualization and SQL to analyze large datasets, create visualizations, and derive insights using Python or R. Youâ€™ll work with cross-functional teams to support data-driven decisions.",Data
Urban Planning Intern,"Market Analysis, Strategy, Operations",4 Months,Semester,AstroForge,$900,Remote,15-02-2026,"As a Urban Planning Intern, you will conduct Market Analysis, Strategy and Operations, developing strategies and analyzing market trends. Youâ€™ll collaborate with business leaders to drive operational improvements.",Business
Smart Textile Intern,"Conductive Fabrics, Wearable Sensors",2 Months,Semester,TextileTech,$10500,Remote,15-02-2026,"As a Smart Textile Intern, you will gain hands-on experience in Conductive Fabrics, Wearable Sensors. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Smart Textiles
Entertainment Intern,"Script Development, Casting Assistance",5 Months,Summer,EntWorld,$12000,Full Time,17-02-2026,"As a Entertainment Intern, you will gain hands-on experience in Script Development, Casting Assistance. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.","Media, Entertainment & Education"
Urban Resilience Intern,"Flood Mitigation, Infrastructure Hardening",3 Months,Research,ResilientCity,$1200,Full Time,17-02-2026,"As an Urban Resilience Intern, you will gain hands-on experience in Flood Mitigation, Infrastructure Hardening. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Urban Resilience
IT Consulting Intern,"Tech Advice, Optimization",2 Months,Converting,Centaur Collective,$9000,Remote,17-02-2026,"As a IT Consulting Intern, you will gain hands-on experience in Tech Advice, Optimization. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Consulting Services
Database Admin Intern,"SQL Queries, Performance Tuning, Data Backup",2 Months,Converting,Solstice Solutions,$18000,Remote,17-02-2026,"As a Database Admin Intern, you will gain hands-on experience in SQL Queries, Performance Tuning, Data Backup. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",IT and Software Development
Sports Analytics Intern,"Pandas, Data Visualization, Predictive Modeling",2 Months,Summer,Horizon Hub,$1600,Full Time,18-02-2026,"As a Sports Analytics Intern, you will leverage Pandas, Data Visualization and Predictive Modeling to analyze large datasets, create visualizations, and derive insights using Python or R. Youâ€™ll work with cross-functional teams to support data-driven decisions.",Data
Design Intern,"Leather Crafting, Prototype Development",3 Months,Semester,LeathDesign,$9000,Full Time,19-02-2026,"As a Design Intern, you will gain hands-on experience in Leather Crafting, Prototype Development. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Leather and Products
Quality Control Intern,"Defect Analysis, Inspection Techniques",2 Months,Summer,Makeshift,$13000,Remote,20-02-2026,"As a Quality Control Intern, you will gain hands-on experience in Defect Analysis, Inspection Techniques. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Manufacturing & Industrial
Phytoremediation Intern,"Plant-Based Cleanup, Soil Detoxification",2 Months,Semester,PhytoClean,$11000,Remote,20-02-2026,"As a Phytoremediation Intern, you will gain hands-on experience in Plant-Based Cleanup, Soil Detoxification. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Phytoremediation
Wearable Tech Intern,"Device Integration, Sensor Analytics",4 Months,Semester,WearTech,$14000,Remote,20-02-2026,"As a Wearable Tech Intern, you will gain hands-on experience in Device Integration, Sensor Analytics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Wearable Technology
Urban Planning Intern,"Market Analysis, Strategy, Entrepreneurship",3 Months,Summer,Wraith Group,$1000,Remote,20-02-2026,"As a Urban Planning Intern, you will conduct Market Analysis, Strategy and Entrepreneurship, developing strategies and analyzing market trends. Youâ€™ll collaborate with business leaders to drive operational improvements.",Business
Supply Chain Intern,"Logistics, Vendor Relations, Inventory Management",3 Months,Research,Oracle Enterprises,$800,Full Time,22-02-2026,"As a Supply Chain Intern, you will gain hands-on experience in Logistics, Vendor Relations, Inventory Management. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Manufacturing & Industrial
Wildlife Research Intern,"Climate Change, Environmental Impact, GIS",6 Months,Long Term,Phobos Ventures,$1600,Full Time,22-02-2026,"As a Wildlife Research Intern, you will work on Climate Change, Environmental Impact and GIS, contributing to sustainability projects or environmental analysis using GIS tools or climate models. Youâ€™ll partner with researchers to promote eco-friendly solutions.",Environment
Business Development Intern,"Partnerships, Analysis, Market Expansion",4 Months,Summer,Genesis Global,$9000,Remote,22-02-2026,"As a Business Development Intern, you will gain hands-on experience in Partnerships, Analysis, Market Expansion. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Diversified Conglomerates
Livestock Intern,"Breeding, Animal Health, Feed Management",2 Months,Long Term,Lunar Logic,$1300,Remote,22-02-2026,"As a Livestock Intern, you will gain hands-on experience in Breeding, Animal Health, Feed Management. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Agriculture and Allied
Urban Noise Reduction Intern,"Sound Barriers, Noise Mapping",2 Months,Summer,NoiseUrban,$9500,Remote,23-02-2026,"As an Urban Noise Reduction Intern, you will gain hands-on experience in Sound Barriers, Noise Mapping. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Urban Noise Reduction
Production Intern,"Production Line, Quality Checks, Packaging",3 Months,Summer,Filmos,$7000,Full Time,24-02-2026,"As a Production Intern, you will gain hands-on experience in Production Line, Quality Checks, Packaging. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",FMCG
Quality Inspection Intern,"Authenticity Check, Certification, Flaw Detection",3 Months,Long Term,Juno Junction,$1500,Full Time,24-02-2026,"As a Quality Inspection Intern, you will gain hands-on experience in Authenticity Check, Certification, Flaw Detection. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Gems & Jewellery
Sports Analytics Intern,"Python, Pandas, Data Visualization, SQL",6 Months,Long Term,Infinite Creations,$1700,Full Time,25-02-2026,"As a Sports Analytics Intern, you will leverage Python, Pandas, Data Visualization and SQL to analyze large datasets, create visualizations, and derive insights using Python or R. Youâ€™ll work with cross-functional teams to support data-driven decisions.",Data
Mixed Reality Intern,"AR/VR Integration, Spatial Mapping",5 Months,Research,MixedReal,$1300,Full Time,25-02-2026,"As a Mixed Reality Intern, you will gain hands-on experience in AR/VR Integration, Spatial Mapping. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Mixed Reality
Smart Irrigation Intern,"Soil Moisture Sensors, Water Optimization",4 Months,Semester,IrriSmart,$13500,Remote,25-02-2026,"As a Smart Irrigation Intern, you will gain hands-on experience in Soil Moisture Sensors, Water Optimization. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Smart Irrigation
Biomedical Engineering Intern,"Medical Device Testing, Prototyping",5 Months,Converting,BioMedTech,$1400,Full Time,26-02-2026,"As a Biomedical Engineering Intern, you will gain hands-on experience in Medical Device Testing, Prototyping. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Biomedical Engineering
Retail Management Intern,"Store Operations, Customer Engagement, Inventory Control",3 Months,Summer,Morpheus Media,$1300,Full Time,26-02-2026,"As a Retail Management Intern, you will gain hands-on experience in Store Operations, Customer Engagement, Inventory Control. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Retail & Consumer Durables
Neuroaesthetics Intern,"Art Perception, Brain Response Analysis",3 Months,Research,NeuroArt,$1050,Full Time,26-02-2026,"As a Neuroaesthetics Intern, you will gain hands-on experience in Art Perception, Brain Response Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Neuroaesthetics
Marine Conservation Intern,"Conservation, Environmental Impact, GIS",4 Months,Semester,AquaNova,$800,Remote,28-02-2026,"As a Marine Conservation Intern, you will work on Conservation, Environmental Impact and GIS, contributing to sustainability projects or environmental analysis using GIS tools or climate models. Youâ€™ll partner with researchers to promote eco-friendly solutions.",Environment
Urban Mobility Intern,"Traffic Flow Modeling, Micromobility Solutions",2 Months,Semester,MobiCity,$14000,Remote,28-02-2026,"As an Urban Mobility Intern, you will gain hands-on experience in Traffic Flow Modeling, Micromobility Solutions. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Urban Mobility
Maintenance Technician Intern,"Engine Diagnostics, Parts Inventory",5 Months,Long Term,RepairPro,$900,Remote,28-02-2026,"As a Maintenance Technician Intern, you will gain hands-on experience in Engine Diagnostics, Parts Inventory. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Automotive
Hospitality Services Intern,"Food Service, Housekeeping",6 Months,Long Term,Fate Forge,$1300,Full Time,01-03-2026,"As a Hospitality Services Intern, you will gain hands-on experience in Food Service, Housekeeping. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Travel & Hospitality
Smart Algae Intern,"Algae Cultivation, Biofuel Optimization",4 Months,Semester,AlgaeSmart,$13500,Remote,01-03-2026,"As a Smart Algae Intern, you will gain hands-on experience in Algae Cultivation, Biofuel Optimization. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Smart Algae Systems
Urban Planning Intern,"Operations, Entrepreneurship",2 Months,Summer,Tyche Solutions,$1300,Full Time,02-03-2026,"As a Urban Planning Intern, you will conduct Operations and Entrepreneurship, developing strategies and analyzing market trends. Youâ€™ll collaborate with business leaders to drive operational improvements.",Business
Urban Microclimate Intern,"Local Weather Modeling, Urban Cooling",4 Months,Summer,MicroClimate,$9500,Remote,03-03-2026,"As an Urban Microclimate Intern, you will gain hands-on experience in Local Weather Modeling, Urban Cooling. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Urban Microclimate
Wildlife Research Intern,"Biodiversity, Conservation, GIS",3 Months,Summer,animalmuch,$1200,Remote,05-03-2026,"As a Wildlife Research Intern, you will work on Biodiversity, Conservation and GIS, contributing to sustainability projects or environmental analysis using GIS tools or climate models. Youâ€™ll partner with researchers to promote eco-friendly solutions.",Environment
Corporate Social Responsibility Intern,"Community Projects, Impact Reporting",4 Months,Semester,CSR Impact,$12000,Remote,05-03-2026,"As a Corporate Social Responsibility Intern, you will gain hands-on experience in Community Projects, Impact Reporting. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Corporate Social Responsibility
Education Content Intern,"Interactive Modules, Assessment Design",2 Months,Research,EduContent,$1000,Remote,05-03-2026,"As a Education Content Intern, you will gain hands-on experience in Interactive Modules, Assessment Design. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.","Media, Entertainment & Education"
Precision Forestry Intern,"Drone Mapping, Tree Health Analysis",2 Months,Semester,ForestTech,$14500,Remote,05-03-2026,"As a Precision Forestry Intern, you will gain hands-on experience in Drone Mapping, Tree Health Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Precision Forestry
Synthetic Genomics Intern,"Gene Synthesis, Genomic Editing",5 Months,Research,Genomix,$1250,Full Time,06-03-2026,"As a Synthetic Genomics Intern, you will gain hands-on experience in Gene Synthesis, Genomic Editing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Synthetic Genomics
Quality Control Intern,"Durability Testing, Material Inspection",6 Months,Converting,QC Leather,$1300,Remote,07-03-2026,"As a Quality Control Intern, you will gain hands-on experience in Durability Testing, Material Inspection. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Leather and Products
